controlled mode: natural
time to run: 40000
send by user 26520
send by user 21674
send by user 26913
send by user 36978
send by user 13493
send by user 27992
send by user 14218
send by user 13436
send by user 14524
send by user 22548
send by user 33725
send by user 11026
send by user 19502
send by user 22608
send by user 19117
send by user send by user 1375823649

send by user 10626
send by user 22664
send by user 2084
 send by user 15860
send by user 14738
send by user 14454
send by user 18486
send by user 36605
send by user 15143
send by user 19137
send by user 6815
send by user 21142
send by user 554
send by user 5377
send by user 25883
send by user 32228
send by user 39464
send by user 7505
send by user 38465
send by user 6324
send by user 20362
send by user 11392
send by user 17370
send by user 18516
send by user 36588
send by user 4950
send by user 7513
send by user 8783
send by user 11350
send by user 22606
send by user 5309
send by user 30319
send by user 13738
send by user 10421
send by user 20604
send by user 3469
send by user 1965
send by user 7967
send by user 12988
send by user 8280send by user
 1129
send by user 11782
send by user 16924
send by user 3876
send by user 8412
send by user 11270
send by user 4294
send by user 29973
send by user 164
send by user 460
send by user 23145
send by user 29590
send by user 22178
send by user 18509
send by user 17071
send by user 12461
send by user 3960
send by user 22232
send by user 14807
send by user 23362
send by user 37270
send by user 38772
send by user 26463
send by user 7702
send by user 11223
send by user 4162
send by user 33616
send by user 38760
send by user 16913
send by user 559
send by user 24101
send by user 37724
send by user 25730
send by user 35179
send by user 22873
send by user 29509
send by user 3162
send by user 38648
send by user 424
send by user 38703
send by user 16747
send by user 10468
send by user 23762
send by user 14905
send by user 7692
send by user 1133
send by user 2978
send by user 16285
send by user 19801
send by user 20437
send by user 31544
send by user 25779
send by user 32527
send by user 34692
send by user 8271
send by user 8739
send by user 38776
send by user 1637
send by user 13828
send by user 24844
send by user 18628
send by user 7786
send by user 16711
send by user 21944
send by user 5704
send by user 26964
send by user 17857
send by user 30965
send by user 19094
send by user 13716
send by user 15424
send by user 34207
send by user 12620
send by user 3048
send by user 28188
send by user 12347
send by user 12003
send by user 3775
send by user 25539
send by user 17234
send by user 7625
send by user 21901
send by user 17710
send by user 21581
send by user 28471
send by user 18701
send by user 27477
send by user 23616
send by user 22763
send by user 7416
send by user 17977
send by user 12268
send by user 39812
send by user 3583
send by user 9168
send by user 199
send by user 36401
send by user 31275
send by user 28463
send by user 18325
send by user 39856
send by user 15519
send by user 9178
send by user 9883
send by user 36930
send by user 7003
send by user 12478
send by user 39042
send by user 31849
send by user 39940
send by user 8013
send by user 29889
send by user 13685
send by user 21294
send by user 39607
send by user 32106
send by user 9805
send by user 17303
send by user 21372
send by user 39159
send by user 15101
send by user 3041
send by user 22974
send by user 31380
send by user 37174
send by user 11987
send by user 4161
send by user 21032
send by user 20382
send by user 33053
send by user 32645
send by user 3700
send by user 11837
send by user 20602
send by user 24005
send by user 34828
send by user 39952
send by user 3619
send by user 24719
send by user 1003
send by user 20486
send by user 30345send by user 36606

send by user 14752
send by user 27121
send by user 11130
send by user 25055
send by user 5057
send by user 17149
send by user 8863
send by user 6048
send by user 17863
send by user 34809send by user 29590

send by user 32281
send by user 19094
send by user 29674
send by user 25194
send by user 35502
send by user 18092
send by user 9526
send by user 34249
send by user 23061
send by user 7702
send by user 31074
send by user 39586
send by user 14892
send by user 34259
send by user 8574
send by user 1030
